loss,acc,f1_m,precision_m,recall_m,top_5_categorical_accuracy,val_loss,val_acc,val_f1_m,val_precision_m,val_recall_m,val_top_5_categorical_accuracy
2.039,0.528,0.506,0.506,0.506,1,0.636,0.699,0.699,0.699,0.699,1
1.702,0.581,0.57,0.57,0.57,1,0.792,0.699,0.699,0.699,0.699,1
1.661,0.592,0.55,0.55,0.55,1,0.689,0.699,0.699,0.699,0.699,1
1.426,0.633,0.662,0.662,0.662,1,0.607,0.699,0.699,0.699,0.699,1
1.182,0.607,0.616,0.616,0.616,1,0.624,0.699,0.699,0.699,0.699,1
1.085,0.599,0.611,0.611,0.611,1,0.605,0.699,0.699,0.699,0.699,1
0.996,0.603,0.613,0.613,0.613,1,0.621,0.699,0.699,0.699,0.699,1
0.779,0.644,0.642,0.642,0.642,1,0.555,0.699,0.699,0.699,0.699,1
0.846,0.637,0.664,0.664,0.664,1,0.589,0.699,0.699,0.699,0.699,1
0.765,0.667,0.713,0.713,0.713,1,0.566,0.699,0.699,0.699,0.699,1
0.514,0.719,0.722,0.722,0.722,1,0.519,0.699,0.699,0.699,0.699,1
0.571,0.723,0.669,0.669,0.669,1,0.609,0.699,0.699,0.699,0.699,1
0.51,0.719,0.694,0.694,0.694,1,0.63,0.699,0.699,0.699,0.699,1
0.513,0.7,0.681,0.681,0.681,1,0.647,0.699,0.699,0.699,0.699,1
0.486,0.753,0.717,0.717,0.717,1,0.623,0.699,0.699,0.699,0.699,1
0.431,0.734,0.732,0.732,0.732,1,0.612,0.699,0.699,0.699,0.699,1
0.388,0.772,0.786,0.786,0.786,1,0.641,0.699,0.699,0.699,0.699,1
0.395,0.76,0.778,0.778,0.778,1,0.614,0.699,0.699,0.699,0.699,1
0.348,0.775,0.788,0.788,0.788,1,0.601,0.699,0.699,0.699,0.699,1
0.372,0.753,0.717,0.717,0.717,1,0.565,0.699,0.699,0.699,0.699,1
0.337,0.779,0.763,0.763,0.763,1,0.55,0.717,0.717,0.717,0.717,1
0.329,0.809,0.812,0.812,0.812,1,0.557,0.717,0.717,0.717,0.717,1
0.351,0.794,0.829,0.829,0.829,1,0.538,0.717,0.717,0.717,0.717,1
0.322,0.805,0.809,0.809,0.809,1,0.509,0.743,0.743,0.743,0.743,1
0.276,0.846,0.866,0.866,0.866,1,0.499,0.743,0.743,0.743,0.743,1
0.292,0.82,0.764,0.764,0.764,1,0.51,0.752,0.752,0.752,0.752,1
0.257,0.843,0.863,0.863,0.863,1,0.481,0.761,0.761,0.761,0.761,1
0.314,0.861,0.876,0.876,0.876,1,0.463,0.788,0.788,0.788,0.788,1
0.268,0.839,0.833,0.833,0.833,1,0.448,0.805,0.805,0.805,0.805,1
0.248,0.876,0.886,0.886,0.886,1,0.419,0.823,0.823,0.823,0.823,1
0.271,0.835,0.802,0.802,0.802,1,0.396,0.832,0.832,0.832,0.832,1
0.271,0.869,0.853,0.853,0.853,1,0.392,0.814,0.814,0.814,0.814,1
0.292,0.85,0.868,0.868,0.868,1,0.384,0.814,0.814,0.814,0.814,1
0.251,0.865,0.795,0.795,0.795,1,0.356,0.832,0.832,0.832,0.832,1
0.239,0.865,0.851,0.851,0.851,1,0.339,0.867,0.867,0.867,0.867,1
0.239,0.899,0.902,0.902,0.902,1,0.328,0.885,0.885,0.885,0.885,1
0.277,0.854,0.815,0.815,0.815,1,0.317,0.885,0.885,0.885,0.885,1
0.229,0.903,0.877,0.877,0.877,1,0.304,0.894,0.894,0.894,0.894,1
0.217,0.903,0.905,0.905,0.905,1,0.289,0.903,0.903,0.903,0.903,1
0.24,0.906,0.879,0.879,0.879,1,0.292,0.885,0.885,0.885,0.885,1
0.229,0.91,0.827,0.827,0.827,1,0.329,0.885,0.885,0.885,0.885,1
0.242,0.888,0.894,0.894,0.894,1,0.3,0.912,0.912,0.912,0.912,1
0.238,0.895,0.872,0.872,0.872,1,0.288,0.92,0.92,0.92,0.92,1
0.243,0.891,0.814,0.814,0.814,1,0.279,0.929,0.929,0.929,0.929,1
0.216,0.921,0.918,0.918,0.918,1,0.273,0.929,0.929,0.929,0.929,1
0.207,0.921,0.89,0.89,0.89,1,0.284,0.92,0.92,0.92,0.92,1
0.21,0.933,0.925,0.925,0.925,1,0.272,0.929,0.929,0.929,0.929,1
0.194,0.925,0.948,0.948,0.948,1,0.266,0.938,0.938,0.938,0.938,1
